Format Version,1.23,Take Name,Take 2021-08-31 04.28.09 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-08-31 04.28.10.058 PM,Capture Start Frame,617850,Total Frames in Take,2182,Total Exported Frames,2182,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z
219,2.190000,-8.191309,0.046179,-0.421624,-1.227106,2.002214,1.470211
220,2.200000,-8.212921,0.028781,-0.420770,-1.227083,2.002197,1.470208
221,2.210000,-8.229726,-0.069870,-0.391628,-1.227079,2.002169,1.470157
222,2.220000,-8.238020,0.009153,-0.411557,-1.227043,2.002227,1.470121
223,2.230000,-8.257317,-0.060091,-0.272928,-1.227087,2.002335,1.470137
224,2.240000,-8.274601,-0.039313,-0.265993,-1.227086,2.002304,1.470124
225,2.250000,-8.285898,0.005416,-0.391979,-1.226988,2.002200,1.470058
226,2.260000,-8.267442,0.006024,-0.414890,-1.226967,2.002210,1.470055
227,2.270000,-8.267281,-0.005768,-0.414311,-1.226997,2.002246,1.470071
228,2.280000,-8.261478,-0.013088,-0.409400,-1.226996,2.002237,1.470053
229,2.290000,-8.253113,-0.012929,-0.410631,-1.226987,2.002223,1.470047
230,2.300000,-8.265132,-0.012204,-0.412946,-1.226959,2.002228,1.470063
231,2.310000,-8.259873,-0.011639,-0.425170,-1.226967,2.002224,1.470047
232,2.320000,-8.227284,-0.095237,-0.474630,-1.226992,2.002312,1.470178
233,2.330000,-8.264225,-0.003496,-0.414538,-1.226903,2.002228,1.470140
234,2.340000,-8.245064,-0.079234,-0.474465,-1.226860,2.002282,1.470327
235,2.350000,-8.260444,-0.083827,-0.478364,-1.226760,2.002290,1.470441
236,2.360000,-8.264801,-0.080123,-0.465749,-1.226589,2.002313,1.470565
237,2.370000,-8.273904,-0.084982,-0.458304,-1.226428,2.002338,1.470713
238,2.380000,-8.309914,-0.108355,-0.468465,-1.226230,2.002328,1.470870
239,2.390000,-8.331308,-0.067952,-0.474750,-1.226016,2.002298,1.470971
240,2.400000,-8.423826,-0.070640,-0.535353,-1.225740,2.002228,1.471148
241,2.410000,-8.447069,-0.061639,-0.629178,-1.225252,2.002287,1.471351
242,2.420000,-8.425565,-0.083049,-0.681655,-1.224796,2.002324,1.471582
243,2.430000,-8.396930,-0.095217,-0.652021,-1.224521,2.002341,1.471766
244,2.440000,-8.275892,-0.086154,-0.693915,-1.224532,2.002343,1.471786
245,2.450000,-8.252769,-0.035656,-0.751826,-1.225059,2.002337,1.471789
246,2.460000,-8.099281,0.109856,-0.714405,-1.226046,2.002478,1.471781
247,2.470000,-8.101527,0.199378,-0.608595,-1.227249,2.002621,1.471542
248,2.480000,-7.855933,0.167972,-0.380149,-1.228704,2.002784,1.471071
249,2.490000,-7.633426,0.193977,-0.501358,-1.230350,2.002809,1.470473
250,2.500000,-7.703946,-0.138798,-0.404506,-1.232012,2.002859,1.469915
251,2.510000,-7.427987,-0.204961,-0.549410,-1.233828,2.002932,1.469230
252,2.520000,-7.462451,0.071552,-0.786040,-1.235992,2.003226,1.468831
253,2.530000,-7.148301,0.113944,-0.528149,-1.238558,2.003629,1.468041
254,2.540000,-7.024092,0.200191,-0.353935,-1.241348,2.004006,1.467116
255,2.550000,-6.722955,0.312191,-0.364196,-1.244299,2.004368,1.465944
256,2.560000,-6.698348,0.214068,-0.652775,-1.247744,2.004624,1.464583
257,2.570000,-6.398441,0.150199,-0.671548,-1.251567,2.005017,1.463112
